Q86TS9 P82921
P04406 Q13255
P19838 Q8NFZ5
O60266 Q9NP56
Q03060 Q9BQY4
P25054 Q15555
Q9UK97 P63208
Q12906 O95202
Q17R98 Q9BTC8
P08574 Q9UI09
Q13618 P0DPH7
Q5VYK3 P60900
P15408 Q9Y5B8
Q4VCS5 P50552
O75177 P51532
P53350 Q00613
Q5JRA6 Q8NCE2
Q9HCE7 P11021
P36873 P31942
Q96FA3 P51668
P12757 P63279
Q9BSF0 P15172
P63000 Q9Y2Y0
Q00987 Q5VUA4
P09234 P38919
Q92945 Q9UMN6
Q99633 Q4V328
Q9BRK4 Q8NAP3
P43353 Q96KN2
O75663 O00743
Q15047 P62805
Q92731 Q969Q0
P04181 P15121
O60260 P18124
Q13526 Q9Y3Q8
Q9NYV4 P62995
O14640 O15169
P02511 Q9BRJ7
O43889 Q9NS64
Q6P5W5 O00461
O60232 P31948
P38919 Q13127
Q66GS9 Q9C0D2
