Q15047 Q66GS9
P51532 Q9BSF0
Q5JRA6 Q9NP56
O00743 O43889
P38919 Q92731
O14640 P12757
O15169 P53350
Q13618 Q4V328
P08574 P25054
O95202 P19838
P08574 Q8NCE2
P62995 Q9UI09
P51668 Q9BQY4
O00461 P38919
P43353 Q9BRJ7
O60232 Q4V328
O75663 Q9UI09
P02511 Q9BQY4
P63000 Q9NP56
P62995 Q8NFZ5
P15121 Q86TS9
P43353 Q13127
O14640 P31948
P31948 Q9BRJ7
O60260 Q969Q0
O14640 P15172
P50552 P53350
O75663 P63279
P31948 P38919
O75177 Q13618
P18124 Q9C0D2
P31948 P63279
P31942 Q9BRK4
Q5VUA4 Q9BRJ7
Q9NP56 Q9UMN6
O43889 Q8NCE2
O43889 Q9BRK4
Q4V328 Q96FA3
P04181 Q9C0D2
P15121 P62995
Q92731 Q99633
Q8NAP3 Q9HCE7
O00743 O60232
